a_bef_b,distance,vb_acc,va_acc
100,12.573236392026804,0.14870922263486197,0.14896152019851902
100,12.95840740185943,0.2099440855168813,0.21034883821224964
100,13.343580128689611,0.24095069010114362,0.24165252953113908
100,13.728754567034342,0.2672851864748336,0.2679186916709029
100,14.113929249980254,0.2889461007260702,0.2894641812165141
100,14.499104595594261,0.2920304302300796,0.29265277635161446
100,14.88428163334215,0.2930801107468952,0.293538292078841
100,15.269459735604073,0.2920974198781307,0.29219807537965
100,15.654638569963902,0.28074805947727294,0.2809953404391963
100,16.03981998938203,0.268949953187132,0.2690970359639802
100,16.42500325521596,0.2567058807045985,0.2567557454097632
100,16.810189190601086,0.23953328579274222,0.23954002986567458
100,17.195377916054866,0.22276795891736006,0.22257743423615584
100,17.580569119380254,0.20640950491279353,0.20633231568535249
100,17.965764131062233,0.18848355716757706,0.18835371794377953
100,18.350962083652956,0.17134305752997042,0.17123187365186862
100,18.736163696344722,0.15498728368060208,0.15486106642682018
100,19.121368468568868,0.13895139134464396,0.13879372369645773
100,19.506575838438916,0.12379237186652041,0.12366228622022843
100,19.891785955524,0.10950893858217921,0.1092589272297361
100,20.276996961526574,0.09630531678491908,0.09611526163338867
100,20.662208149621677,0.08393154063131353,0.0837474477878021
100,21.04741712381871,0.07238591922469802,0.0721941167233249
100,21.432618435140434,0.06306502000941203,0.061468944430584704
100,21.817798951817107,0.05406565781545562,0.0520805753479299
100,22.202954604775673,0.04538559779100019,0.04232572688276013
100,22.588061755538813,0.045188873636005544,0.03399264357897218
100,22.973061761791712,0.03755886662076053,0.026568815253949208
100,23.357956546320914,0.022495786737764877,0.02005368891235946
100,23.742825327017254,0.007555643059327157,0.0147704372554114
100,24.127759858701022,-0.0011736886126959844,0.01025040085522055
100,24.512802595089013,-0.003692235797727526,0.006329757215137993
100,24.897939894548472,-0.0013571243748292747,0.004197348495003379
100,25.28312999949855,3.6666002768821804e-05,0.002334161026432572
100,25.66834101334044,0.0004890299026929812,0.0008511116273296797
100,26.05355686746515,0.00018252763138027587,0.0006114793754751535
100,26.43877538416632,-1.1434159547861084e-06,0.00042632109017033367
100,26.823996961148246,-6.189435630946391e-05,0.00019522924982750335
100,27.20922067697933,-2.164042693235164e-05,6.329414210644114e-05
100,27.594445146590985,1.0767807550052732e-06,-5.439727908854344e-05
100,27.979669214207682,8.031430680146594e-06,-0.00015950443487099553
100,28.36489215273505,2.9153361352394932e-06,-0.00022118615584739866
100,28.750113638013033,-7.945245537129702e-08,-0.0002650715728757458
100,29.135333375656835,-1.036010223158292e-06,-0.0003268617467299222
100,29.520550943015238,-3.8455055951456156e-07,-0.00035039826576842525
100,29.905766025958393,1.882560805675761e-09,-0.0003871762262018635
100,30.29097843057553,1.2980857783121738e-07,-0.000406814883866353
100,30.67618793503665,1.6066546672620625e-06,-0.000351603165744503
100,31.061394596862645,2.3351474757583954e-06,-0.0003450574281865362
100,31.446598502989158,2.502191165481399e-06,-0.0003317985074025354
100,31.83179995754341,1.5511244015980474e-06,-0.00032017901082619684
100,32.2169986169772,1.8256907143412121e-06,-0.0003769172545480947
100,32.60219387704615,1.3604319855292328e-06,-0.00040418225072754897
100,32.98738609060584,1.3039249722848348e-06,-0.0003481914631668197
100,33.37257683343977,8.550842121372886e-07,-0.00027850821020826015
100,33.75776714917379,-3.4521267392253197e-07,-0.00019118052876751547
100,34.14295702844282,7.409328956273208e-07,-0.00020964974036695604
100,34.52814571292053,3.1029018234891996e-07,-0.0001831108778436135
100,34.91333395746441,-1.4052334404354146e-08,-0.00011267215518576405
100,35.298523852343315,-2.356564019846689e-06,-2.0186813099363003e-05
100,35.683716529672694,-1.0466277559112502e-06,-2.5642264276000045e-06
100,36.06891044411423,-9.73294378853982e-07,5.310579173673766e-06
100,36.4541044818177,-1.2807293953558382e-06,4.227068732775543e-06
