a_bef_b,distance,va_acc,vb_acc
100,10.263765303176495,0.1487069188348066,0.148710099210043
100,10.477840414093055,0.2099442818855752,0.20998919385602105
100,10.69191753599501,0.2409474326891603,0.24100882152833505
100,10.905996153072826,0.2672824968647907,0.2673440134585218
100,11.120075843549778,0.288943978514784,0.28897652461827733
100,11.334156752657218,0.2920267586426868,0.292085906421263
100,11.548239182094264,0.2930773057607931,0.29312622159152907
100,11.762322768227492,0.2920955985610692,0.2921309126936681
100,11.976407276007397,0.28074573030303496,0.280772908166731
100,12.190492955433717,0.2689481192814572,0.2689649778218303
100,12.404579764161516,0.2567034622986067,0.2567109596496755
100,12.618667479836501,0.23953205036774147,0.23950528403142848
100,12.832755906611798,0.22276762140806733,0.2227618320318925
100,13.046845298503685,0.2064092489051715,0.20640032306347902
100,13.260935287164216,0.1884829995366027,0.18842960858349758
100,13.475025471501844,0.17134258940359534,0.17133193105738867
100,13.689115835570496,0.1549869799709809,0.15497500947222811
100,13.903206225628441,0.1389512349442621,0.13894116614849542
100,14.11729631504089,0.12379229198644041,0.12378099260242158
100,14.331385631950942,0.10950874738034934,0.10949707010750402
100,14.545474081148663,0.0963068883689959,0.09629544520944595
100,14.759561352741388,0.08393396297296463,0.08366542189702554
100,14.973645786044758,0.07238854422420544,0.0723729492658324
100,15.187726368266784,0.06152234647303416,0.06150704603421938
100,15.401802100183787,0.05153266245830823,0.0515684181390775
100,15.615873268921405,0.042419187142456495,0.04240332669241947
100,15.829944124454586,0.03409985298390671,0.03403497249651274
100,16.04401449595913,0.02668199927059583,0.02664407188461143
100,16.25808482247216,0.0201657433200545,0.020149322453254005
100,16.472152573830446,0.01623193789888382,0.014858347241228566
100,16.686208503728245,0.011559434964880025,0.010330412422441655
100,16.90025416331712,0.006148821787322136,0.006565518010488446
100,17.114305096914826,0.0020348946915914354,0.004283225606033159
100,17.32837837505354,-0.0003610265140582123,0.0023891308013205474
100,17.54247912023065,-0.0010395003256854867,0.0008617437674156554
100,17.756600721435323,-0.0008391052209224488,0.000505409919140807
100,17.97073550880647,-0.0006550569538434283,0.00019443339016364733
100,18.184878770495704,-0.00048740086743074364,-7.119344953021803e-05
100,18.39902663369932,-0.0003629685203185905,-0.00010030843061351632
100,18.613177593598355,-0.000251311396532831,-0.00020483350259709943
100,18.827329974461293,-0.00014901435061630465,-0.0002592005941839241
100,19.041482193191968,-7.899733305219798e-05,-0.00027818980512575326
100,19.255633374134792,-1.6058736160066822e-05,-0.00030463406217039575
100,19.469782840955844,3.999379570131416e-05,-0.00032093468402165566
100,19.68392993769933,7.2657670504033e-05,-0.00032019546522874816
100,19.898074210958654,0.00010394183670000697,-0.00031625928130199753
100,20.11221510772738,0.00012993562375104034,-0.0003113534270636376
100,20.326352438417857,0.0001416026282348963,-0.000296814907856425
100,20.540486193206632,0.00015120305740642134,-0.0002841943540765997
100,20.754616387038254,0.00015749831112643145,-0.0002671218591258097
100,20.968743059508725,0.00015632293481906284,-0.000247857689496348
100,21.18286590472035,0.00015338110694302975,-0.00023254288921635967
100,21.39698510169408,0.00015027482252485976,-0.00021106438172899093
100,21.611100871284986,0.00014143712560126602,-0.00019186234505868594
100,21.825213500422244,0.00013262069686814865,-0.00017456036180536918
100,22.039323223374645,0.00012600941129178755,-0.00015727610243904285
100,22.253429952268643,0.00011679400580870004,-0.0001392682735596474
100,22.46753382697434,0.00010847201362809418,-0.00012351874609134239
100,22.681635081199378,0.00010052079835851885,-0.00010976540005019026
100,22.895733923699883,9.016881991635251e-05,-9.41602121838022e-05
100,23.10983063089002,5.7440897329204694e-05,-8.001227125643472e-05
100,23.32392432238825,7.402898595884068e-05,-6.323588885680638e-05
100,23.53801462196085,6.609759437248938e-05,-4.7740086478764186e-05
100,23.752101979449982,5.9501832459860605e-05,-3.5137528877382324e-05
100,23.966186765581913,6.185042141188779e-05,-2.0119740467252758e-05
100,24.180269328365895,7.513559211263398e-05,-9.726565611405891e-06
100,24.394350217137255,4.618484300207165e-05,-1.5252142416377447e-05
100,24.60843033111275,3.9192083201271895e-05,-1.836647555948641e-05
100,24.822509870247078,3.333101819941976e-05,-1.0119019431550647e-05
100,25.03658934961903,2.789200277896672e-05,-8.258885280248374e-06
100,25.250669050854853,2.2875032367861013e-05,-1.0879316880506263e-06
100,25.464748848885336,1.886258464030902e-05,-1.7358134130847624e-06
100,25.678828305606643,1.5162186406590594e-05,-8.282261071585655e-06
100,25.892907800058694,1.17738399310308e-05,-7.12721406074584e-06
100,26.106988046035013,9.198919259240901e-06,1.0965895581583897e-05
100,26.321069537888263,6.8412452880106995e-06,-2.573201870583524e-06
100,26.535151480871924,4.7008197576672785e-06,-1.0074496452969453e-05
100,26.749233209806903,3.1747617072684906e-06,-7.256636701254412e-07
